소단원명	질문	정답
12. 경우의 수	합의 법칙은 언제 사용하는가?	두 사건 A, B가 동시에 일어나지 않을 때(또는 ~이거나) 사용합니다.
12. 경우의 수	곱의 법칙은 언제 사용하는가?	두 사건 A, B가 잇따라 일어날 때(또는 동시에, 그리고) 사용합니다.
12. 경우의 수	주사위 한 개를 던질 때 소수가 나오는 경우의 수는?	2, 3, 5 로 총 3가지입니다.
12. 경우의 수	동전 한 개와 주사위 한 개를 동시에 던지는 경우의 수는?	2 곱하기 6 하여 12가지입니다.
12. 경우의 수	n명을 한 줄로 세우는 경우의 수는?	n부터 1까지 거꾸로 차례대로 모두 곱한 값입니다.
12. 경우의 수	n명 중에서 자격이 다른 대표 2명을 뽑는 경우의 수는?	n 곱하기 (n-1) 가지입니다.
12. 경우의 수	n명 중에서 자격이 같은 대표 2명을 뽑는 경우의 수는?	n 곱하기 (n-1) 나누기 2 가지입니다.
12. 경우의 수	서로 다른 티셔츠 3벌과 바지 2벌을 입는 경우의 수는?	3 곱하기 2 하여 6가지입니다.
12. 경우의 수	길 찾기 문제에서 A에서 B를 거쳐 C로 가는 방법은?	A에서 B로 가는 가짓수와 B에서 C로 가는 가짓수를 곱합니다.
12. 경우의 수	주사위 두 개를 던질 때 눈의 합이 4가 되는 경우의 수는?	(1,3), (2,2), (3,1) 로 3가지입니다.
12. 경우의 수	색칠하기 문제에서 인접한 영역을 다른 색으로 칠하는 법은?	한 영역씩 칠할 수 있는 색의 개수를 차례로 곱합니다.
12. 경우의 수	자연수 만들기에서 0을 포함한 숫자 카드 3장으로 두 자리 정수 만드는 법은?	십의 자리(2가지) 곱하기 일의 자리(2가지) 하여 4가지입니다.
12. 경우의 수	n명 중 특정 인물 1명을 고정하고 줄 세우는 방법은?	그 인물을 제외한 (n-1)명을 줄 세우는 것과 같습니다.
12. 경우의 수	이웃하게 줄 세우는 방법은?	이웃하는 것들을 하나로 묶어 계산한 뒤 묶음 안의 순서를 곱합니다.
12. 경우의 수	적어도 하나는 ~일 경우의 수는?	전체 경우의 수에서 반대되는 경우의 수를 빼서 구합니다.
12. 경우의 수	동전 3개를 던질 때 앞면이 2개 나오는 경우의 수는?	3가지입니다.
12. 경우의 수	대표 뽑기에서 '자격이 같다'는 말의 의미는?	순서가 바뀌어도 같은 경우로 취급한다는 뜻입니다.
12. 경우의 수	경우의 수를 구할 때 중복되거나 빠뜨리지 않는 것이 중요한가?	네, 수형도를 그리거나 표를 만들어 정확히 세어야 합니다.
13. 확률	확률의 정의는 무엇인가?	모든 경우의 수에 대한 어떤 사건이 일어날 경우의 수의 비율입니다.
13. 확률	확률 P의 값의 범위는?	0 이상 1 이하입니다.
13. 확률	절대로 일어나지 않는 사건의 확률은?	0 입니다.
13. 확률	반드시 일어나는 사건의 확률은?	1 입니다.
13. 확률	사건 A가 일어날 확률이 p일 때, 일어나지 않을 확률은?	1 빼기 p 입니다.
13. 확률	'적어도 하나는 ~일 확률'을 구하는 방법은?	1에서 (모두 ~가 아닐 확률)을 빼서 구합니다.
13. 확률	두 사건 A, B가 동시에 일어나지 않을 때의 확률 계산은?	사건 A의 확률과 사건 B의 확률을 더합니다.
13. 확률	두 사건 A, B가 서로 영향을 주지 않고 동시에 일어날 확률은?	각각의 확률을 서로 곱합니다.
13. 확률	주사위 한 개를 던질 때 홀수가 나올 확률은?	6분의 3 즉, 2분의 1 입니다.
13. 확률	동전 두 개를 던질 때 모두 앞면이 나올 확률은?	4분의 1 입니다.
13. 확률	비가 올 확률이 30퍼센트이면 오지 않을 확률은?	70퍼센트(0.7) 입니다.
13. 확률	두 주사위를 던질 때 눈의 합이 13이 될 확률은?	0 입니다 (최대 합은 12).
13. 확률	확률에서 '연속하여 꺼내는 경우' 다시 넣는 것의 의미는?	처음과 나중의 전체 경우의 수가 변하지 않는다는 뜻입니다.
13. 확률	확률에서 '꺼낸 것을 다시 넣지 않는 경우'의 특징은?	나중 사건의 전체 경우의 수와 해당 가짓수가 줄어듭니다.
13. 확률	두 사람이 가위바위보를 할 때 비길 확률은?	9분의 3 즉, 3분의 1 입니다.
13. 확률	어떤 문제의 정답을 맞힐 확률이 5분의 1이면 틀릴 확률은?	5분의 4 입니다.
13. 확률	명중률이 각각 0.6, 0.8인 두 사람이 동시에 쏘아 과녁에 맞힐 확률은?	1 빼기 (둘 다 못 맞힐 확률 0.4 곱하기 0.2) 하여 0.92 입니다.
13. 확률	도형에서의 확률은 어떻게 구하는가?	전체 넓이에 대한 해당 영역의 넓이 비로 구합니다.
13. 확률	확률을 소수로 나타낼 수 있는가?	네, 분수, 소수, 백분율 모두 가능합니다.
13. 확률	사건 A 또는 B가 일어날 확률은 무슨 법칙인가?	확률의 덧셈 정리입니다.
