소단원명	질문	정답
10. 이차방정식의 풀이 (1)	이차방정식의 근이 0과 3이라면 식은?	x(x 마이너스 3)은 0입니다.
11. 이차방정식의 풀이 (2)	이차방정식의 근의 공식은 무엇인가?	2a 분의 마이너스 b 플러스 마이너스 루트 (b제곱 마이너스 4ac)입니다.
11. 이차방정식의 풀이 (2)	근의 공식은 언제 사용하는가?	인수분해가 쉽게 되지 않는 모든 이차방정식에 사용합니다.
11. 이차방정식의 풀이 (2)	짝수 공식(근의 공식의 변형)은 언제 쓰는가?	일차항의 계수 b가 짝수일 때 계산을 간단히 하기 위해 씁니다.
11. 이차방정식의 풀이 (2)	짝수 공식의 형태는?	a 분의 마이너스 b프라임 플러스 마이너스 루트 (b프라임제곱 마이너스 ac)입니다.
11. 이차방정식의 풀이 (2)	근의 공식에서 루트 안의 식 b제곱 마이너스 4ac의 역할은?	근의 개수를 판별하는 역할을 합니다.
11. 이차방정식의 풀이 (2)	b제곱 마이너스 4ac가 0보다 크면 근은 몇 개인가?	서로 다른 두 근입니다.
11. 이차방정식의 풀이 (2)	b제곱 마이너스 4ac가 0이면 근은 몇 개인가?	중근(1개)입니다.
11. 이차방정식의 풀이 (2)	b제곱 마이너스 4ac가 0보다 작으면 근은?	실수 해가 없습니다.
11. 이차방정식의 풀이 (2)	계수가 소수인 이차방정식의 근의 공식 적용 전 할 일은?	양변에 10의 거듭제곱을 곱해 정수로 만듭니다.
11. 이차방정식의 풀이 (2)	계수가 분수인 이차방정식의 근의 공식 적용 전 할 일은?	분모의 최소공배수를 곱해 정수로 만듭니다.
11. 이차방정식의 풀이 (2)	복잡한 공통부분이 있는 이차방정식 풀이법은?	공통부분을 치환하여 푼 뒤 원래 식을 대입합니다.
11. 이차방정식의 풀이 (2)	x제곱 마이너스 3x 플러스 1은 0의 해는?	근의 공식에 대입하여 2분의 3 플러스 마이너스 루트 5입니다.
11. 이차방정식의 풀이 (2)	이차방정식의 두 근이 주어질 때 이차방정식 만드는 법은?	a(x 마이너스 근1)(x 마이너스 근2)는 0 형식을 씁니다.
11. 이차방정식의 풀이 (2)	근의 공식 유도 과정의 핵심은?	이차방정식을 완전제곱식 꼴로 변형하는 것입니다.
11. 이차방정식의 풀이 (2)	이차방정식의 해가 정수나 분수로 나오면?	인수분해가 가능했던 식임을 의미합니다.
11. 이차방정식의 풀이 (2)	근의 공식에서 분모 2a를 실수로 2로 쓰는 실수는?	a가 1이 아닌 경우 반드시 2a를 계산해야 합니다.
11. 이차방정식의 풀이 (2)	루트 안의 값이 0이면 플러스 마이너스 의미가 있는가?	아니요, 사라지므로 해가 하나(중근)가 됩니다.
11. 이차방정식의 풀이 (2)	근의 공식에서 b의 부호는 어떻게 대입하나?	공식의 마이너스와 원래 b의 부호를 함께 고려해야 합니다.
11. 이차방정식의 풀이 (2)	이차방정식의 근이 무리수로 나올 때의 특징은?	보통 켤레근(루트 앞 부호만 다른 쌍)으로 존재합니다.
11. 이차방정식의 풀이 (2)	이차방정식 풀이법 중 가장 만능인 방법은?	근의 공식입니다.
12. 이차방정식의 활용	활용 문제 풀이의 4단계는?	미지수 정하기, 식 세우기, 풀기, 확인하기입니다.
12. 이차방정식의 활용	미지수 x를 정할 때 주의할 점은?	문제에서 구하라는 것을 x로 두되, 조건(양수, 자연수 등)을 확인합니다.
12. 이차방정식의 활용	연속하는 두 정수를 미지수로 잡는 법은?	x와 x 플러스 1로 잡습니다.
12. 이차방정식의 활용	지면에서 쏘아 올린 물체의 높이 공식에서 해의 의미는?	특정 높이에 도달하는 시점(시간)을 의미합니다.
12. 이차방정식의 활용	물체가 다시 지면에 떨어지는 조건은?	높이 h가 0일 때의 x값을 구합니다.
12. 이차방정식의 활용	도형의 넓이 문제에서 길을 제외한 넓이 식 세우는 팁은?	길을 한쪽으로 밀어서 남은 직사각형의 가로와 세로를 곱합니다.
12. 이차방정식의 활용	사각형의 가로를 2 늘리고 세로를 3 줄인 넓이 식은?	(x 플러스 2)(y 마이너스 3)입니다.
12. 이차방정식의 활용	n각형의 대각선 개수 공식 2분의 n(n-3)을 이용한 문제는?	대각선 수가 주어질 때 n에 대한 이차방정식을 풉니다.
12. 이차방정식의 활용	구한 해가 두 개일 때 모두 답이 되는가?	문제의 조건(길이는 양수, 사람 수는 자연수 등)에 맞는 것만 선택합니다.
12. 이차방정식의 활용	나이 문제에서 나이의 제곱이 언급되면?	미지수 x의 제곱을 포함한 식을 세웁니다.
12. 이차방정식의 활용	원형 탁자에 둘러앉는 악수 횟수 문제는?	n(n-1) 나누기 2는 횟수 식으로 풉니다.
12. 이차방정식의 활용	활용 문제에서 근의 공식이 쓰이는 경우?	해가 정수로 떨어지지 않는 현실적인 수치 문제일 때입니다.
12. 이차방정식의 활용	이차방정식 활용에서 미지수가 두 개 필요한 경우는?	연립이차방정식 형태이나 보통은 하나의 문자로 표현 가능하게 주어집니다.
12. 이차방정식의 활용	어떤 수의 제곱이 그 수보다 12만큼 클 때 식은?	x제곱은 x 플러스 12입니다.
12. 이차방정식의 활용	상자의 부피 문제에서 미지수 정하기는?	잘라낸 모서리의 길이를 x로 둡니다.
12. 이차방정식의 활용	연속하는 세 홀수의 제곱의 합 식은?	(x-2)제곱, x제곱, (x+2)제곱의 합으로 둡니다.
12. 이차방정식의 활용	비례식을 이용한 이차방정식 활용은?	내항의 곱은 외항의 곱 성질을 이용해 이차식을 만듭니다.
12. 이차방정식의 활용	이차방정식 활용 문제에서 검산이 중요한 이유는?	수학적 해와 실제 상황의 답이 다를 수 있기 때문입니다.
12. 이차방정식의 활용	동생 나이가 x일 때 3살 많은 형 나이의 제곱 식은?	(x 플러스 3)의 전체 제곱입니다.
12. 이차방정식의 활용	속도와 거리 활용 문제에서 시간의 제곱이 나오는 이유는?	가속도가 붙는 운동 등에서 높이가 시간의 이차함수로 나타나기 때문입니다.
13. 이차함수의 뜻과 그 그래프	함수란 무엇인가?	x의 값이 하나 정해짐에 따라 y의 값이 오직 하나씩 정해지는 관계입니다.
13. 이차함수의 뜻과 그 그래프	이차함수의 정의는 무엇인가?	y는 f(x)에서 f(x)가 x에 대한 이차식인 함수입니다.
13. 이차함수의 뜻과 그 그래프	이차함수의 일반형 형태는?	y는 ax의 제곱 플러스 bx 플러스 c (단, a는 0이 아님)입니다.
13. 이차함수의 뜻과 그 그래프	y는 2x제곱 플러스 1은 이차함수인가?	네, 최고차항이 2차이므로 맞습니다.
13. 이차함수의 뜻과 그 그래프	y는 (x 플러스 1)제곱 마이너스 x제곱은 이차함수인가?	전개하면 이차항이 사라지므로 일차함수이며 이차함수가 아닙니다.
13. 이차함수의 뜻과 그 그래프	함숫값 f(a)란 무엇인가?	이차함수 식의 x 자리에 a를 대입하여 얻은 y의 값입니다.
13. 이차함수의 뜻과 그 그래프	이차함수의 그래프 모양은 무엇이라 하는가?	포물선이라고 합니다.
13. 이차함수의 뜻과 그 그래프	포물선의 꼭짓점이란 무엇인가?	포물선과 축이 만나는 점으로, 그래프가 꺾이는 지점입니다.
13. 이차함수의 뜻과 그 그래프	포물선의 축이란 무엇인가?	포물선을 대칭으로 나누는 직선입니다.
13. 이차함수의 뜻과 그 그래프	y는 ax제곱의 그래프에서 꼭짓점은?	원점(0, 0)입니다.
13. 이차함수의 뜻과 그 그래프	a의 부호가 양수이면 그래프의 모양은?	아래로 볼록한 모양입니다.
13. 이차함수의 뜻과 그 그래프	a의 부호가 음수이면 그래프의 모양은?	위로 볼록한 모양입니다.
13. 이차함수의 뜻과 그 그래프	a의 절댓값이 클수록 그래프의 폭은 어떠한가?	폭이 좁아집니다.
13. 이차함수의 뜻과 그 그래프	y는 ax제곱과 y는 마이너스 ax제곱의 관계는?	x축에 대하여 대칭인 관계입니다.
13. 이차함수의 뜻과 그 그래프	이차함수 그래프 위의 점 (1, 2)의 의미는?	x에 1을 대입하면 y가 2가 나온다는 뜻입니다.
13. 이차함수의 뜻과 그 그래프	축의 방정식이 x는 0인 그래프는?	y는 ax제곱 꼴의 그래프입니다.
13. 이차함수의 뜻과 그 그래프	이차함수 f(x)는 x제곱 마이너스 1에서 f(2)는?	4 마이너스 1이므로 3입니다.
13. 이차함수의 뜻과 그 그래프	포물선은 어느 선에 대하여 대칭인가?	축(대칭축)에 대하여 대칭입니다.
13. 이차함수의 뜻과 그 그래프	y는 3x제곱과 폭이 같은 이차함수는?	y는 마이너스 3x제곱입니다.
13. 이차함수의 뜻과 그 그래프	이차함수 식에서 c가 의미하는 것은?	y축과 만나는 점의 y좌표(y절편)입니다.
14. 이차함수 y=a(x-p)^2+q의 그래프	y는 ax제곱을 y축 방향으로 q만큼 평행이동한 식은?	y는 ax제곱 플러스 q입니다.
14. 이차함수 y=a(x-p)^2+q의 그래프	y는 ax제곱 플러스 q의 꼭짓점 좌표는?	(0, q)입니다.
14. 이차함수 y=a(x-p)^2+q의 그래프	y는 ax제곱을 x축 방향으로 p만큼 평행이동한 식은?	y는 a(x 마이너스 p)의 전체 제곱입니다.
14. 이차함수 y=a(x-p)^2+q의 그래프	y는 a(x 마이너스 p)의 제곱의 꼭짓점은?	(p, 0)입니다.
14. 이차함수 y=a(x-p)^2+q의 그래프	이차함수의 표준형 y는 a(x 마이너스 p)제곱 플러스 q의 꼭짓점은?	(p, q)입니다.
14. 이차함수 y=a(x-p)^2+q의 그래프	표준형 그래프의 축의 방정식은 무엇인가?	x는 p입니다.
14. 이차함수 y=a(x-p)^2+q의 그래프	y는 2(x 마이너스 1)제곱 플러스 3의 꼭짓점은?	(1, 3)입니다.
14. 이차함수 y=a(x-p)^2+q의 그래프	꼭짓점이 (2, -4)이고 a가 1인 이차함수 식은?	y는 (x 마이너스 2)제곱 마이너스 4입니다.
14. 이차함수 y=a(x-p)^2+q의 그래프	평행이동해도 변하지 않는 값은 무엇인가?	그래프의 모양과 폭을 결정하는 a의 값입니다.
14. 이차함수 y=a(x-p)^2+q의 그래프	y는 마이너스 (x 플러스 5)제곱의 그래프 축은?	x는 마이너스 5입니다.
14. 이차함수 y=a(x-p)^2+q의 그래프	x축 방향 평행이동 시 식에서 x 대신 무엇을 넣나?	(x 마이너스 p)를 대입합니다.
14. 이차함수 y=a(x-p)^2+q의 그래프	그래프가 제 몇 사분면을 지나는지 확인하는 법은?	꼭짓점의 위치와 y절편을 확인하여 그립니다.
14. 이차함수 y=a(x-p)^2+q의 그래프	a가 0보다 크고 q가 0보다 작으면 꼭짓점은 어디에 있나?	x축보다 아래쪽(제4 또는 제3사분면)에 있습니다.
14. 이차함수 y=a(x-p)^2+q의 그래프	이차함수 식에서 p의 부호가 양수이면 축은 어느 쪽에 있나?	y축의 오른쪽에 있습니다.
14. 이차함수 y=a(x-p)^2+q의 그래프	y는 3(x 마이너스 2)제곱 플러스 1을 x축 대칭이동하면?	y는 마이너스 3(x 마이너스 2)제곱 마이너스 1입니다.
14. 이차함수 y=a(x-p)^2+q의 그래프	x가 p보다 클 때 x가 증가하면 y도 증가하는 조건은?	a가 양수(아래로 볼록)인 경우입니다.
14. 이차함수 y=a(x-p)^2+q의 그래프	꼭짓점이 x축 위에 있다는 것은 무슨 뜻인가?	q의 값이 0이라는 뜻입니다.
14. 이차함수 y=a(x-p)^2+q의 그래프	꼭짓점이 y축 위에 있다는 것은 무슨 뜻인가?	p의 값이 0이라는 뜻입니다.
14. 이차함수 y=a(x-p)^2+q의 그래프	y는 a(x 마이너스 p)제곱 플러스 q에서 그래프가 모든 사분면을 지날 조건은?	a의 부호와 q의 부호가 다르고 적절한 y절편 값을 가져야 합니다.
14. 이차함수 y=a(x-p)^2+q의 그래프	평행이동하여 y는 x제곱과 겹쳐질 수 있는 함수는?	이차항의 계수가 1인 모든 이차함수입니다.
15. 이차함수 y=ax^2+bx+c의 그래프	일반형 y는 ax제곱 플러스 bx 플러스 c를 표준형으로 고치는 법은?	이차항과 일차항을 a로 묶어 완전제곱식으로 변형합니다.
15. 이차함수 y=ax^2+bx+c의 그래프	일반형에서 y절편을 바로 찾는 방법은?	x에 0을 대입한 상수항 c의 값을 봅니다.
15. 이차함수 y=ax^2+bx+c의 그래프	일반형에서 축의 방정식 공식은?	x는 마이너스 2a분의 b입니다.
15. 이차함수 y=ax^2+bx+c의 그래프	a와 b의 부호가 같으면 축은 어느 쪽에 있는나?	y축의 왼쪽에 있습니다.
15. 이차함수 y=ax^2+bx+c의 그래프	a와 b의 부호가 다르면 축은 어느 쪽에 있는나?	y축의 오른쪽에 있습니다.
15. 이차함수 y=ax^2+bx+c의 그래프	c의 부호가 음수이면 그래프는 y축과 어디서 만나나?	원점보다 아래쪽에서 만납니다.
15. 이차함수 y=ax^2+bx+c의 그래프	이차함수 그래프가 x축과 만나는 점의 개수를 아는 법은?	표준형의 q와 a의 부호를 비교하거나 판별식을 씁니다.
15. 이차함수 y=ax^2+bx+c의 그래프	x축과 만나는 점의 x좌표를 구하는 방법은?	y에 0을 대입하여 이차방정식을 풉니다.
15. 이차함수 y=ax^2+bx+c의 그래프	세 점이 주어졌을 때 이차함수 식 구하는 법은?	일반형에 세 점을 대입하여 a, b, c에 대한 연립방정식을 풉니다.
15. 이차함수 y=ax^2+bx+c의 그래프	꼭짓점과 한 점이 주어질 때 식 구하는 법은?	표준형 식에 꼭짓점을 넣고 한 점을 대입해 a를 구합니다.
15. 이차함수 y=ax^2+bx+c의 그래프	x축과의 두 교점과 한 점이 주어질 때 식 구하는 법은?	y는 a(x 마이너스 알파)(x 마이너스 베타) 꼴을 이용합니다.
15. 이차함수 y=ax^2+bx+c의 그래프	축의 방정식과 두 점이 주어질 때 식 구하는 법은?	표준형에 p값을 넣고 두 점을 대입하여 a와 q를 구합니다.
15. 이차함수 y=ax^2+bx+c의 그래프	이차함수의 그래프가 위로 볼록하고 y축과의 교점이 양수이면?	a는 음수, c는 양수입니다.
15. 이차함수 y=ax^2+bx+c의 그래프	y는 x제곱 마이너스 2x 플러스 5의 꼭짓점은?	(1, 4)입니다.
15. 이차함수 y=ax^2+bx+c의 그래프	이차함수 그래프가 모든 사분면을 지나는지 확인하는 필수 요소는?	꼭짓점, 볼록 방향, y절편입니다.
15. 이차함수 y=ax^2+bx+c의 그래프	일반형에서 b가 0이면 꼭짓점은 어디에 있나?	y축 위에 있습니다.
15. 이차함수 y=ax^2+bx+c의 그래프	이차함수 식을 구할 때 가장 먼저 결정해야 할 형태는?	주어진 조건(꼭짓점, 교점 등)에 따라 표준형 혹은 일반형을 선택합니다.
15. 이차함수 y=ax^2+bx+c의 그래프	y는 ax제곱 플러스 bx 플러스 c에서 a 플러스 b 플러스 c의 의미는?	x는 1일 때의 함숫값입니다.
15. 이차함수 y=ax^2+bx+c의 그래프	그래프가 x축과 접한다는 것은 무엇을 뜻하나?	꼭짓점이 x축 위에 있고 중근을 갖는다는 뜻입니다.
15. 이차함수 y=ax^2+bx+c의 그래프	이차함수 그래프의 대칭성을 활용하는 방법은?	축으로부터 같은 거리에 있는 두 점의 y좌표가 같음을 이용합니다.
16. 이차함수의 활용	이차함수의 활용 문제 풀이 단계는?	변수 x, y 정하기, 식 세우기, 최댓값이나 최솟값 구하기, 확인하기입니다.
16. 이차함수의 활용	이차함수에서 y의 최댓값이나 최솟값은 어디서 발생하는가?	범위 제한이 없다면 포물선의 꼭짓점에서 발생합니다.
16. 이차함수의 활용	아래로 볼록한 이차함수는 무엇을 갖는가?	최솟값을 갖습니다.
16. 이차함수의 활용	위로 볼록한 이차함수는 무엇을 갖는가?	최댓값을 갖습니다.
16. 이차함수의 활용	물체를 쏘아 올렸을 때 최고 높이에 도달하는 시간은?	이차함수 그래프의 꼭짓점의 x좌표입니다.
16. 이차함수의 활용	두 수의 합이 10일 때, 두 수의 곱의 최댓값은?	두 수가 5와 5일 때인 25입니다.
16. 이차함수의 활용	직사각형 둘레가 일정할 때 넓이가 최대가 되는 모양은?	정사각형일 때입니다.
16. 이차함수의 활용	이차함수 활용에서 x의 범위(변역)를 설정하는 이유는?	길이나 시간 등 실제 상황에서 가능한 수치만 답으로 하기 위해서입니다.
16. 이차함수의 활용	수익을 최대로 하기 위한 판매 가격 결정 문제는 무엇을 이용하나?	판매량과 가격의 관계를 이차함수로 세워 꼭짓점을 찾습니다.
16. 이차함수의 활용	도형의 넓이 활용에서 미지수는 주로 무엇으로 잡나?	한 변의 길이나 좌표평면 위의 점의 x좌표로 잡습니다.
16. 이차함수의 활용	y는 마이너스 5x제곱 플러스 20x 플러스 1에서 최댓값은?	꼭짓점의 y좌표를 구하여 계산합니다.
16. 이차함수의 활용	꼭짓점의 x좌표가 음수가 나왔을 때 시간 문제라면?	시간은 음수가 될 수 없으므로 문제의 조건을 다시 확인하거나 범위 끝값을 봅니다.
16. 이차함수의 활용	이차함수를 이용해 다리의 아치 모양을 설계할 수 있는가?	네, 포물선 모양의 구조 설계에 활용됩니다.
16. 이차함수의 활용	지면에서 쏘아 올린 공이 땅에 떨어질 때까지 걸린 시간은?	y가 0일 때의 x값 중 양수인 것을 택합니다.
16. 이차함수의 활용	담장에 직사각형 모양의 울타리를 만들 때 최대 넓이 구하기는?	담장 쪽 면을 제외하고 식을 세워 이차함수를 만듭니다.
16. 이차함수의 활용	이차함수 활용에서 가장 많이 실수하는 부분은?	완전제곱식으로 고칠 때 계산 실수를 하거나 x와 y를 혼동하는 것입니다.
16. 이차함수의 활용	그래프가 주어지고 넓이를 구하는 문제는?	각 점의 좌표를 구하여 밑변과 높이를 찾습니다.
16. 이차함수의 활용	이차함수의 대칭성을 이용해 터널의 폭을 구하는 방법은?	지면과 만나는 두 점 사이의 거리를 계산합니다.
16. 이차함수의 활용	어떤 상품의 가격을 x원 인상할 때 매출액 식은?	(기존 가격 플러스 x)(기존 수량 마이너스 감소량)입니다.
16. 이차함수의 활용	이차함수 활용의 최종 목적은?	최적의 조건(최대 혹은 최소)을 찾아 현실의 문제를 해결하는 것입니다.
